axis,channel_value,coverage,method,n_scenes,psnr_full,psnr_full_sd,ssim_full,symbol_errors_pre_fec
burst_len_lines,8.0,0.9444444444444445,B4,6,26.473443964240744,1.9216890874686021,0.7652543967073621,0.0804638525851162
burst_len_lines,8.0,0.953125,P,6,24.60643055798568,2.0657884951493,0.6448497654306596,0.07122361913391474
burst_rate_per_frame,0.0,1.0,B0a-R,6,29.161090874489002,1.5277206262811334,0.9377772409695361,nan
burst_rate_per_frame,0.0,1.0,B4,6,27.745664417433858,2.356455577722925,0.7881251175221502,0.0
burst_rate_per_frame,0.0,1.0,P,6,25.407479332079145,2.43664550518033,0.6549859734627271,0.0
burst_rate_per_frame,1.0,1.0,B0a-R,6,29.002445653565783,1.388315099391139,0.9332112993819862,nan
burst_rate_per_frame,1.0,0.9953703703703703,B4,6,27.626843437457712,2.24048405192965,0.7866686239142221,0.02322992149758454
burst_rate_per_frame,1.0,0.9918981481481483,P,6,25.35817584963755,2.3876383996207675,0.653980765507952,0.026310666553403556
burst_rate_per_frame,2.0,1.0,B0a-R,6,27.413448635257428,1.1521577346679908,0.8970432479278214,nan
burst_rate_per_frame,2.0,0.9629629629629629,B4,6,26.848961833255803,1.8113456076419707,0.7729280983319828,0.06875319005923626
burst_rate_per_frame,2.0,0.9652777777777777,P,6,24.71848240225467,1.9508540717769642,0.6464290961308959,0.06685886000679579
burst_rate_per_frame,4.0,1.0,B0a-R,6,24.83911867494275,1.3147154575061846,0.8277044742526155,nan
burst_rate_per_frame,4.0,0.9120370370370371,B4,6,25.949191029162563,1.8946994299442719,0.748683397759406,0.13630224508281572
burst_rate_per_frame,4.0,0.9085648148148148,P,6,23.925743826315227,2.1770162230581684,0.6265884381510621,0.13820429597538417
burst_rate_per_frame,6.0,1.0,B0a-R,6,22.37569835714878,2.1010029016086675,0.7563850683179405,nan
burst_rate_per_frame,6.0,0.8368055555555557,B4,6,24.676577658093745,2.1042857849334506,0.7122188615535322,0.17533868544398434
burst_rate_per_frame,6.0,0.8883101851851851,P,6,24.32110366876273,2.425666737560062,0.6282051339174993,0.16795341228715976
burst_rate_per_frame,8.0,1.0,B0a-R,6,20.522437440777008,1.5635629895453682,0.6748623876736514,nan
burst_rate_per_frame,8.0,0.7199074074074074,B4,6,22.02500947430021,0.8343046442936298,0.669419854725101,0.22707515599838968
burst_rate_per_frame,8.0,0.8165509259259259,P,6,23.594101656979078,1.9461752324714026,0.619367104612679,0.2169271718201382
frame_drop_prob,0.0,1.0,B0a-R,6,29.17479607042446,1.5278000917389225,0.937877243651715,nan
frame_drop_prob,0.0,1.0,B4,6,27.745664417433858,2.356455577722925,0.7881251175221502,0.0
frame_drop_prob,0.0,1.0,P,6,25.407479332079145,2.43664550518033,0.6549859734627271,0.0
frame_drop_prob,0.01,1.0,B0a-R,6,29.15597738605371,1.5332751841631824,0.9376443462643115,nan
frame_drop_prob,0.01,0.9814814814814815,B4,6,27.352086609098546,2.4598291180096714,0.7778383451840812,0.0
