channel,channel_axis,channel_value,clip,clip_hash,config_id,detail,job_id,method,n_frames,n_frames_done,profile_id,repetition,scene,status,trace_id,wall_s
clean,,nan,clip_grid_fast_v6,2453f46f9dcc3b0f5d64085613010caa3f2a65997cd5c9f93aeb99c64e42c2a7,fe45d509310b99d4,"frame 15 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",31a3f6463bb6efe6,B4t,16,16,7e31e8b9ec,4,synthetic:grid-v6,capacity,clean|clip_grid_fast_v6|clean|rep4|seed20240909,0.2643
clean,,nan,clip_grid_fast_v6,2453f46f9dcc3b0f5d64085613010caa3f2a65997cd5c9f93aeb99c64e42c2a7,fe45d509310b99d4,"frame 15 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",cc394252bfbaaa0e,B4t,16,16,7e31e8b9ec,2,synthetic:grid-v6,capacity,clean|clip_grid_fast_v6|clean|rep2|seed20240909,0.2817
mild,,nan,clip_grid_fast_v6,2453f46f9dcc3b0f5d64085613010caa3f2a65997cd5c9f93aeb99c64e42c2a7,fe45d509310b99d4,"frame 15 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",f52c1a5f4b3dd543,B4t,16,16,7e31e8b9ec,0,synthetic:grid-v6,capacity,mild|clip_grid_fast_v6|mild|rep0|seed20240909,0.3005
mild,,nan,clip_grid_fast_v6,2453f46f9dcc3b0f5d64085613010caa3f2a65997cd5c9f93aeb99c64e42c2a7,fe45d509310b99d4,"frame 15 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",5f2f1e3a2f424e62,B4t,16,16,7e31e8b9ec,1,synthetic:grid-v6,capacity,mild|clip_grid_fast_v6|mild|rep1|seed20240909,0.2916
mild,,nan,clip_grid_fast_v6,2453f46f9dcc3b0f5d64085613010caa3f2a65997cd5c9f93aeb99c64e42c2a7,fe45d509310b99d4,"frame 15 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",565861be3eafa612,B4t,16,16,7e31e8b9ec,2,synthetic:grid-v6,capacity,mild|clip_grid_fast_v6|mild|rep2|seed20240909,0.3127
moderate,,nan,clip_grid_fast_v6,2453f46f9dcc3b0f5d64085613010caa3f2a65997cd5c9f93aeb99c64e42c2a7,fe45d509310b99d4,"frame 15 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",f81a5cd0ae416181,B4t,16,16,7e31e8b9ec,0,synthetic:grid-v6,capacity,moderate|clip_grid_fast_v6|moderate|rep0|seed20240909,0.2558
mild,,nan,clip_grid_fast_v6,2453f46f9dcc3b0f5d64085613010caa3f2a65997cd5c9f93aeb99c64e42c2a7,fe45d509310b99d4,"frame 15 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",317d70503946b465,B4t,16,16,7e31e8b9ec,3,synthetic:grid-v6,capacity,mild|clip_grid_fast_v6|mild|rep3|seed20240909,0.2796
moderate,,nan,clip_grid_fast_v6,2453f46f9dcc3b0f5d64085613010caa3f2a65997cd5c9f93aeb99c64e42c2a7,fe45d509310b99d4,"frame 15 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",ae3391fd69ecbea6,B4t,16,16,7e31e8b9ec,4,synthetic:grid-v6,capacity,moderate|clip_grid_fast_v6|moderate|rep4|seed20240909,0.2284
mild,,nan,clip_grid_fast_v6,2453f46f9dcc3b0f5d64085613010caa3f2a65997cd5c9f93aeb99c64e42c2a7,fe45d509310b99d4,"frame 15 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",9bb4a3e22a295125,B4t,16,16,7e31e8b9ec,4,synthetic:grid-v6,capacity,mild|clip_grid_fast_v6|mild|rep4|seed20240909,0.2807
moderate,,nan,clip_grid_fast_v6,2453f46f9dcc3b0f5d64085613010caa3f2a65997cd5c9f93aeb99c64e42c2a7,fe45d509310b99d4,"frame 15 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",8fe8536c5ae845e0,B4t,16,16,7e31e8b9ec,2,synthetic:grid-v6,capacity,moderate|clip_grid_fast_v6|moderate|rep2|seed20240909,0.2787
