burst_lines,column_twist,descriptions_in_one_stripe,descriptions_lost_in_one_stripe,fraction,n_burst_positions,n_descriptions,outcome,scheme,stripe_lost
1,0,1,-1,1.0,278,1,touched,bawp-8,False
1,0,0,0,1.0,278,1,lost,bawp-8,False
2,0,1,-1,1.0,277,1,touched,bawp-8,False
2,0,0,0,1.0,277,1,lost,bawp-8,False
4,0,1,-1,1.0,276,1,touched,bawp-8,False
4,0,0,0,1.0,276,1,lost,bawp-8,False
8,0,1,-1,1.0,274,1,touched,bawp-8,False
8,0,0,0,1.0,274,1,lost,bawp-8,False
16,0,1,-1,1.0,270,1,touched,bawp-8,False
16,0,0,0,1.0,270,1,lost,bawp-8,False
24,0,1,-1,1.0,266,1,touched,bawp-8,False
24,0,0,0,1.0,266,1,lost,bawp-8,False
32,0,1,-1,1.0,262,1,touched,bawp-8,False
32,0,0,0,1.0,262,1,lost,bawp-8,False
48,0,1,-1,1.0,254,1,touched,bawp-8,False
48,0,0,0,1.0,254,1,lost,bawp-8,False
64,0,1,-1,1.0,246,1,touched,bawp-8,False
64,0,0,0,1.0,246,1,lost,bawp-8,False
1,1,1,-1,1.0,278,1,touched,bawp-8,False
1,1,0,0,1.0,278,1,lost,bawp-8,False
2,1,1,-1,1.0,277,1,touched,bawp-8,False
2,1,0,0,1.0,277,1,lost,bawp-8,False
4,1,1,-1,1.0,276,1,touched,bawp-8,False
4,1,0,0,1.0,276,1,lost,bawp-8,False
8,1,1,-1,1.0,274,1,touched,bawp-8,False
8,1,0,0,1.0,274,1,lost,bawp-8,False
16,1,1,-1,1.0,270,1,touched,bawp-8,False
16,1,0,0,1.0,270,1,lost,bawp-8,False
24,1,1,-1,1.0,266,1,touched,bawp-8,False
24,1,0,0,1.0,266,1,lost,bawp-8,False
32,1,1,-1,1.0,262,1,touched,bawp-8,False
32,1,0,0,1.0,262,1,lost,bawp-8,False
48,1,1,-1,1.0,254,1,touched,bawp-8,False
48,1,0,0,1.0,254,1,lost,bawp-8,False
64,1,1,-1,1.0,246,1,touched,bawp-8,False
64,1,0,0,1.0,246,1,lost,bawp-8,False
1,3,1,-1,1.0,278,1,touched,bawp-8,False
1,3,0,0,1.0,278,1,lost,bawp-8,False
2,3,1,-1,1.0,277,1,touched,bawp-8,False
