coverage,method,psnr_full,scenario,t_frame
1.0,B0a-R,,degrade_recover,10.0
1.0,B0a-R,,degrade_recover,11.0
1.0,B0a-R,,degrade_recover,12.0
1.0,B0a-R,,degrade_recover,13.0
1.0,B0a-R,,degrade_recover,14.0
1.0,B0a-R,,degrade_recover,15.0
1.0,B0a-R,,degrade_recover,16.0
1.0,B0a-R,,degrade_recover,17.0
1.0,B0a-R,,degrade_recover,18.0
1.0,B0a-R,,degrade_recover,19.0
1.0,B0a-R,,degrade_recover,20.0
1.0,B0a-R,,degrade_recover,21.0
1.0,B0a-R,,degrade_recover,22.0
1.0,B0a-R,,degrade_recover,23.0
1.0,B0a-R,,degrade_recover,24.0
1.0,B0a-R,,degrade_recover,25.0
1.0,B0a-R,,degrade_recover,26.0
1.0,B0a-R,,degrade_recover,27.0
1.0,B0a-R,,degrade_recover,28.0
1.0,B0a-R,,degrade_recover,29.0
1.0,B0a-R,,degrade_recover,30.0
1.0,B0a-R,,degrade_recover,31.0
1.0,B0a-R,,degrade_recover,32.0
1.0,B0a-R,,degrade_recover,33.0
1.0,B0a-R,,degrade_recover,34.0
1.0,B0a-R,,degrade_recover,35.0
1.0,B0a-R,,degrade_recover,36.0
1.0,B0a-R,,degrade_recover,37.0
1.0,B0a-R,,degrade_recover,38.0
1.0,B0a-R,,degrade_recover,39.0
1.0,B0a-R,,degrade_recover,40.0
1.0,B0a-R,,degrade_recover,41.0
1.0,B0a-R,,degrade_recover,42.0
1.0,B0a-R,,degrade_recover,43.0
1.0,B0a-R,,degrade_recover,44.0
1.0,B0a-R,,degrade_recover,45.0
1.0,B0a-R,,degrade_recover,46.0
1.0,B0a-R,,degrade_recover,47.0
1.0,B4,,degrade_recover,0.0
1.0,B4,,degrade_recover,1.0
1.0,B4,,degrade_recover,2.0
1.0,B4,,degrade_recover,3.0
1.0,B4,,degrade_recover,4.0
1.0,B4,,degrade_recover,5.0
1.0,B4,,degrade_recover,6.0
1.0,B4,,degrade_recover,7.0
1.0,B4,,degrade_recover,8.0
1.0,B4,,degrade_recover,9.0
1.0,B4,,degrade_recover,10.0
1.0,B4,,degrade_recover,11.0
1.0,B4,,degrade_recover,12.0
1.0,B4,,degrade_recover,13.0
1.0,B4,,degrade_recover,14.0
1.0,B4,,degrade_recover,15.0
0.8958333333333334,B4,,degrade_recover,16.0
0.9166666666666666,B4,,degrade_recover,17.0
0.78125,B4,,degrade_recover,18.0
0.9479166666666666,B4,,degrade_recover,19.0
0.0,B4,,degrade_recover,20.0
0.0,B4,,degrade_recover,21.0
0.0,B4,,degrade_recover,22.0
0.0,B4,,degrade_recover,23.0
1.0,B4,,degrade_recover,24.0
1.0,B4,,degrade_recover,25.0
1.0,B4,,degrade_recover,26.0
1.0,B4,,degrade_recover,27.0
1.0,B4,,degrade_recover,28.0
1.0,B4,,degrade_recover,29.0
1.0,B4,,degrade_recover,30.0
1.0,B4,,degrade_recover,31.0
1.0,B4,,degrade_recover,32.0
1.0,B4,,degrade_recover,33.0
1.0,B4,,degrade_recover,34.0
1.0,B4,,degrade_recover,35.0
1.0,B4,,degrade_recover,36.0
1.0,B4,,degrade_recover,37.0
1.0,B4,,degrade_recover,38.0
1.0,B4,,degrade_recover,39.0
1.0,B4,,degrade_recover,40.0
1.0,B4,,degrade_recover,41.0
1.0,B4,,degrade_recover,42.0
1.0,B4,,degrade_recover,43.0
1.0,B4,,degrade_recover,44.0
1.0,B4,,degrade_recover,45.0
1.0,B4,,degrade_recover,46.0
1.0,B4,,degrade_recover,47.0
1.0,P,,degrade_recover,0.0
1.0,P,,degrade_recover,1.0
1.0,P,,degrade_recover,2.0
1.0,P,,degrade_recover,3.0
1.0,P,,degrade_recover,4.0
1.0,P,,degrade_recover,5.0
1.0,P,,degrade_recover,6.0
